model,condition,language_pair,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-4.1,baseline,ar-en,20,0.75,0.25,0,1.0,1.0,1.4426545539711753,5,0.55,0.9,0.1,0.45
gpt-4.1,baseline,es-en,20,0.75,0.25,0,1.0,1.0,1.4274112961318843,5,0.55,0.9,0.1,0.45
gpt-4.1,baseline,hi-en,20,1,0,0,,,1.0,0,1,1,0,0
gpt-4.1,contract,ar-en,20,1,0,0,,,1.0,0,1,1,0,0
gpt-4.1,contract,es-en,20,1,0,0,,,1.0,0,1,1,0,0
gpt-4.1,contract,hi-en,20,1,0,0,,,1.0,0,1,1,0,0
