model,condition,task_family,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-5.4-mini,baseline,editing_preservation,30,0.3333333333333333,0.6666666666666666,0,1.0,1.0,2.1209940223508137,20,0.16666666666666666,0.5,0.5,0.8333333333333334
gpt-5.4-mini,baseline,output_language_inference,30,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,baseline,quote_preservation,30,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,baseline,script_register_locale,30,0.8666666666666667,0.3333333333333333,0.1,0.25,0.25,1.3953863378024665,4,0.7333333333333333,0.9666666666666667,0.03333333333333333,0.7
gpt-5.4-mini,contract,editing_preservation,30,0.6666666666666666,0.3333333333333333,0,1.0,1.0,1.3838329197985226,10,0.5,0.8333333333333334,0.16666666666666666,0.5
gpt-5.4-mini,contract,output_language_inference,30,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,contract,quote_preservation,30,0.9333333333333333,0.2,0.06666666666666667,0.0,0.0,1.163361267238872,2,0.8333333333333334,1,0,0.5
gpt-5.4-mini,contract,script_register_locale,30,0.8,0.4666666666666667,0.13333333333333333,0.3333333333333333,0.3333333333333333,1.4182648313916464,6,0.6666666666666666,0.9333333333333333,0.13333333333333333,0.8666666666666667
