model,condition,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-4.1-nano,baseline,24,0.7083333333333334,0.375,0.041666666666666664,0.8571428571428571,0.8571428571428571,1.5389323368795953,7,0.5416666666666666,0.875,0.125,0.6666666666666666
gpt-4.1-nano,contract,24,0.8333333333333334,0.25,0.041666666666666664,0.75,0.75,1.2513196643995246,4,0.6666666666666666,0.9583333333333334,0.041666666666666664,0.5416666666666666
