model,n_pairs,delta_ftga_pp,delta_ftga_pp_ci_low,delta_ftga_pp_ci_high,rtt_reduction,rtt_reduction_ci_low,rtt_reduction_ci_high,token_tax_reduction,token_tax_reduction_ci_low,token_tax_reduction_ci_high,unresolved_reduction_pp,unresolved_reduction_pp_ci_low,unresolved_reduction_pp_ci_high
gpt-4.1,60,16.666666666666664,8.333333333333332,26.666666666666668,0.16666666666666666,0.08333333333333333,0.26666666666666666,0.2900219500343532,0.13972918747918747,0.46526251278537684,0.0,0.0,0.0
gpt-4.1-mini,60,5.0,0.0,11.666666666666666,0.05,0.0,0.11666666666666667,0.13803878406339712,0.054244393310727244,0.24268826794150936,0.0,0.0,0.0
gpt-4.1-nano,60,10.0,3.3333333333333335,18.333333333333332,0.2,0.06666666666666667,0.35,0.3867364525053617,0.20505822532564316,0.5947773413684233,5.0,-1.6666666666666667,13.333333333333334
