model,condition,language_pair,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-4.1-nano,baseline,ar-en,20,0.4,1.05,0.2,0.5833333333333334,0.6666666666666666,2.532429510253848,12,0.2,0.6,0.6,1.55
gpt-4.1-nano,baseline,es-en,20,0.75,0.25,0,1.0,1.0,1.3967067859874402,5,0.55,0.9,0.1,0.45
gpt-4.1-nano,baseline,hi-en,20,0.95,0.05,0,1.0,1.0,1.0706666666666667,1,0.85,1,0,0.15
gpt-4.1-nano,contract,ar-en,20,0.6,0.55,0.05,0.75,0.875,1.6012283846149362,8,0.4,0.8,0.25,0.95
gpt-4.1-nano,contract,es-en,20,0.8,0.2,0,1.0,1.0,1.2383652207769336,4,0.6,0.95,0.05,0.4
gpt-4.1-nano,contract,hi-en,20,1,0,0,,,1.0,0,1,1,0,0
