model,n_pairs,delta_ftga_pp,delta_ftga_pp_ci_low,delta_ftga_pp_ci_high,rtt_reduction,rtt_reduction_ci_low,rtt_reduction_ci_high,token_tax_reduction,token_tax_reduction_ci_low,token_tax_reduction_ci_high,unresolved_reduction_pp,unresolved_reduction_pp_ci_low,unresolved_reduction_pp_ci_high
gpt-4.1,120,16.666666666666664,10.0,23.333333333333332,0.13333333333333333,0.05,0.21666666666666667,0.3003743526528601,0.18741478976535814,0.42511078830998295,-1.6666666666666667,-4.166666666666666,0.0
gpt-4.1-mini,120,3.3333333333333335,0.8333333333333334,6.666666666666667,0.03333333333333333,0.0,0.075,0.1594539677686343,0.0957908199617645,0.23301458141273684,-0.8333333333333334,-2.5,0.0
gpt-4.1-nano,120,9.166666666666666,4.166666666666666,15.0,0.14166666666666666,0.06666666666666667,0.23333333333333334,0.35133958003629806,0.2343732369356417,0.47936976009745724,1.6666666666666667,-2.5,5.833333333333333
