model,condition,task_family,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-4.1-nano,contract,editing_preservation,30,1,0,0,,,1.0,0,1,1,0,0
gpt-4.1-nano,contract,output_language_inference,30,1,0,0,,,1.0,0,1,1,0,0
gpt-4.1-nano,contract,quote_preservation,30,0.9333333333333333,0.06666666666666667,0,1.0,1.0,1.0758519824238708,2,0.8333333333333334,1,0,0.16666666666666666
gpt-4.1-nano,contract,script_register_locale,30,1,0,0,,,1.0,0,1,1,0,0
