condition,n,actual_ftga_n,actual_ftga_pct,actual_fail_n,relax_language_ftga_n,relax_language_ftga_pct,relax_language_delta_pp,sole_language_blocker_n,relax_script_ftga_n,relax_script_ftga_pct,relax_script_delta_pp,sole_script_blocker_n,relax_preservation_ftga_n,relax_preservation_ftga_pct,relax_preservation_delta_pp,sole_preservation_blocker_n,relax_task_ftga_n,relax_task_ftga_pct,relax_task_delta_pp,sole_task_blocker_n,relax_register_locale_ftga_n,relax_register_locale_ftga_pct,relax_register_locale_delta_pp,sole_register_locale_blocker_n
baseline,240,194,80.8,46,196,81.7,0.9,2,194,80.8,0.0,0,197,82.1,1.3,3,195,81.2,0.4,1,194,80.8,0.0,0
contract,240,220,91.7,20,226,94.2,2.5,6,220,91.7,0.0,0,225,93.8,2.1,5,220,91.7,0.0,0,220,91.7,0.0,0
