model,condition,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-4.1-mini,baseline,60,0.8,0.23333333333333334,0.016666666666666666,0.9166666666666666,0.9166666666666666,1.351603265037598,12,0.6833333333333333,0.9,0.11666666666666667,0.36666666666666664
gpt-4.1-mini,contract,60,0.85,0.18333333333333332,0.016666666666666666,0.8888888888888888,0.8888888888888888,1.1996010968649253,9,0.7666666666666667,0.9333333333333333,0.06666666666666667,0.3
gpt-4.1-nano,baseline,60,0.7,0.45,0.06666666666666667,0.7222222222222222,0.7777777777777778,1.666600987635985,18,0.5833333333333334,0.8166666666666667,0.25,0.6666666666666666
gpt-4.1-nano,contract,60,0.8,0.25,0.016666666666666666,0.8333333333333334,0.9166666666666666,1.2798645351306233,12,0.7,0.9,0.11666666666666667,0.4
