model,condition,language_pair,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-4.1,baseline,ar-en,8,0.5,0.5,0,1.0,1.0,1.7764249500675435,4,0.125,0.875,0.125,0.875
gpt-4.1,baseline,es-en,8,0.625,0.375,0,1.0,1.0,1.620573435209157,3,0.25,0.875,0.125,0.75
gpt-4.1,baseline,hi-en,8,1,0,0,,,1.0,0,1,1,0,0
gpt-4.1,contract,ar-en,8,0.75,0.5,0.125,0.5,0.5,1.4604327731092437,2,0.5,1,0,1.25
gpt-4.1,contract,es-en,8,1,0,0,,,1.0,0,1,1,0,0
gpt-4.1,contract,hi-en,8,1,0,0,,,1.0,0,1,1,0,0
gpt-4.1-mini,baseline,ar-en,8,0.5,0.5,0,1.0,1.0,1.7774291383219956,4,0.125,0.875,0.125,0.875
gpt-4.1-mini,baseline,es-en,8,0.625,0.375,0,1.0,1.0,1.5904776589912282,3,0.25,0.875,0.125,0.75
gpt-4.1-mini,baseline,hi-en,8,1,0,0,,,1.0,0,1,1,0,0
gpt-4.1-mini,contract,ar-en,8,0.625,0.375,0,1.0,1.0,1.4484145024534856,3,0.25,0.875,0.125,0.75
gpt-4.1-mini,contract,es-en,8,0.625,0.375,0,1.0,1.0,1.4417821471012857,3,0.25,0.875,0.125,0.75
gpt-4.1-mini,contract,hi-en,8,1,0,0,,,1.0,0,1,1,0,0
