model,condition,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-4.1,baseline,24,0.7083333333333334,0.2916666666666667,0,1.0,1.0,1.4656661284255668,7,0.5,0.875,0.125,0.5
gpt-4.1,contract,24,0.9166666666666666,0.16666666666666666,0.041666666666666664,0.5,0.5,1.1534775910364146,2,0.7916666666666666,1,0,0.4583333333333333
gpt-4.1-mini,baseline,24,0.7083333333333334,0.2916666666666667,0,1.0,1.0,1.4559689324377412,7,0.5,0.875,0.125,0.5
gpt-4.1-mini,contract,24,0.75,0.25,0,1.0,1.0,1.296732216518257,6,0.5833333333333334,0.9166666666666666,0.08333333333333333,0.4166666666666667
