model,n_pairs,ftga_delta_pp,ftga_ci_low_pp,ftga_ci_high_pp,ftga_improved_n,ftga_worsened_n,ftga_tie_n,ftga_sign_p,rtt_reduction,rtt_ci_low,rtt_ci_high,rtt_improved_n,rtt_worsened_n,rtt_tie_n,rtt_sign_p,token_tax_reduction,token_tax_ci_low,token_tax_ci_high,token_tax_improved_n,token_tax_worsened_n,token_tax_tie_n,token_tax_sign_p,unresolved_reduction_pp,unresolved_ci_low_pp,unresolved_ci_high_pp,unresolved_improved_n,unresolved_worsened_n,unresolved_tie_n,unresolved_sign_p,claim_scope
gpt-5.4-mini,120,5.0,-0.8,11.7,11,5,104,0.210113525390625,0.0,-0.117,0.117,11,6,103,0.332305908203125,0.138,0.01,0.269,23,6,91,0.002315700054168701,-2.5,-6.7,0.8,1,4,115,0.375,bounded_token_tax_effect_directional_ftga
gpt-5.5,120,16.7,10.0,24.2,20,0,100,1.9073486328125e-06,0.208,0.125,0.308,21,0,99,9.5367431640625e-07,0.262,0.164,0.374,22,0,98,4.76837158203125e-07,1.7,0.0,4.2,2,0,118,0.5,headline_current_model_effect
